model,num_tokens,time_us,tflops,gbps,sort_us,dispatch_us,fused_moe_us,combine_us,misc_us,all_kernels_us
deepseek_v3,1024,1947.3,370.5,1740,10.1,397.8,900.2,386.1,183.3,1877.6
deepseek_v3,2048,3340.7,432.0,1185,10.4,718.8,1561.7,705.9,278.7,3275.5
deepseek_v3,4096,6384.6,452.1,799,10.7,1336.2,3153.4,1308.1,511.6,6320.0
deepseek_v3,8192,12454.0,463.5,593,10.7,2558.9,6270.9,2529.6,1021.9,12392.0
deepseek_v3,16384,24270.0,475.7,492,11.0,4988.2,12207.4,5040.1,1959.7,24206.4
