timestamp,world_size,hidden_size,moe_ffn_hidden_size,num_experts,topk,dtype,num_tokens,time_us,tflops,gbps,sort_us,dispatch_us,fused_moe_us,combine_us,misc_us,all_kernels_us
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,32,1243.3755993843079,18.134969284555336,2281.207771331947,6.965333363041282,89.92333287994067,827.5739294787247,77.36853299041589,184.725233555461,1186.5563622675836
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,64,1253.682291507721,35.971758485768056,2276.6724004431885,7.268066657707095,96.41810059547424,829.9526340638597,83.3911666025718,179.38400053729615,1196.413968456909
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,128,1326.276163260142,68.0056806527321,2178.9394517174674,8.722666588922342,105.43413360913596,831.8205974375209,145.0917656222979,177.7506002690643,1268.8197635269414
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,256,1344.5069313049316,134.16712270640443,2202.4271910044995,8.680033326769868,107.96353270610173,824.2498703300953,166.69989873965582,179.38126713658372,1286.9746022392064
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,512,1391.5925979614258,259.2549381137198,2230.3833496576526,8.937333415572843,122.35029911001523,858.8675010949372,165.4599018394947,180.2065322175622,1335.8215676775822
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,1024,1459.7464243570964,494.3012660885866,2321.634480791818,8.760066702961922,156.83843394120532,882.7447983746727,164.70109820365906,191.22273221922416,1404.2671294417232
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,2048,2282.681600252787,632.198994067411,1734.5489513568289,9.285466683407625,206.17610067129135,1540.3269278506436,248.4296644727389,222.95503445590535,2227.1731941339867
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,4096,4331.622997919719,666.313302034392,1177.4509615563104,9.118866672118505,350.4157324632009,3087.676903605461,448.9031294981639,379.3880013128122,4275.502633551757
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,8192,8179.760805765788,705.6974137624047,902.4683258215277,9.357399990161259,565.498701731364,6061.826033890247,714.0303631623585,773.7429350614548,8124.455433835586
2026-05-27T07:09:50,8,7168,2048,256,8,bf16,16384,15891.846879323322,726.465097437409,751.6670581278995,9.754666623969873,997.3684668540955,11845.897988478344,1435.5409661928813,1547.4591577115157,15836.021245860806
