timestamp,rank,world_size,hidden_size,moe_ffn_hidden_size,num_experts,topk,micro_batch_size,seq_length,num_tokens,dtype,deepep_num_cu,permute_fusion,deepep_use_cuda_num_tokens_per_expert,sync_free_stage,mode,stage,mean_ms,median_ms,p99_ms
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,e2e_forward,1.2433755993843079,1.2306690216064453,1.3456100225448608
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_preprocess,0.006965333363041282,0.0060800001956522465,0.01095999963581562
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_dispatch,0.08992333287994067,0.0845004990696907,0.12260100245475769
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_postprocess,0.1721078669031461,0.16958200186491013,0.19760100543498993
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc1,0.5109916627407074,0.5051040053367615,0.5497639775276184
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,swiglu_with_probs,0.01991079971194267,0.019760499708354473,0.020919999107718468
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc2,0.2966714670260747,0.2959219962358475,0.30900299549102783
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,combine_preprocess,0.008112033347909648,0.0076599998865276575,0.01155999954789877
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_combine,0.07736853299041589,0.06998000293970108,0.14264099299907684
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,combine_postprocess,0.004505333304405212,0.004519999958574772,0.004639999940991402
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,e2e_forward,1.253682291507721,1.227848470211029,1.402649998664856
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_preprocess,0.0072680666577070955,0.0063599999994039536,0.011599999852478504
