model,num_tokens,time_us,tflops,gbps,sort_us,dispatch_us,fused_moe_us,combine_us,misc_us,all_kernels_us
deepseek_v2_lite,4096,1766.0,240.8,424,9.3,482.6,594.5,408.4,202.8,1697.5
deepseek_v2_lite,8192,2981.1,285.3,456,9.7,887.4,1060.1,617.5,339.3,2913.9
deepseek_v2_lite,16384,5579.5,304.8,462,10.0,1674.8,2009.2,1231.1,591.8,5516.9
deepseek_v2_lite,32768,10938.2,311.0,459,10.2,3246.8,4143.5,2366.3,1107.0,10874.0
deepseek_v2_lite,49152,16304.9,312.9,458,10.9,4822.3,6264.6,3524.4,1618.4,16240.5
