model,num_tokens,time_us,tflops,gbps,sort_us,dispatch_us,fused_moe_us,combine_us,misc_us,all_kernels_us
qwen3_235B_A22B,2048,1884.4,328.2,686,9.1,448.2,706.8,463.1,193.3,1820.5
qwen3_235B_A22B,4096,3445.5,359.0,575,9.7,826.1,1353.4,871.9,320.9,3382.0
qwen3_235B_A22B,8192,6422.4,385.2,522,9.6,1554.7,2694.5,1480.1,619.7,6358.6
qwen3_235B_A22B,16384,12651.4,391.1,483,9.7,3005.7,5491.6,2913.4,1168.2,12588.6
qwen3_235B_A22B,32768,25334.3,390.6,458,10.6,5932.2,11295.8,5772.4,2260.5,25271.6
